id,text,date,type
tweet_1982930714002895355,"What does it mean to be great?

I've spent the last five years learning.

And starting today, I'm going pro.

I'm the world's first professional Meta Athlete.

Or Mathlete, if you will.

And I'm taking a little bit of inspiration from Shohei Ohtani. https://t.co/JWQO3aiEob",2025-10-27 22:01:37,tweet
tweet_1982930763923501547,"Anyone else want to step up for a sponsorship slot?

Let's see if we're aligned: https://t.co/C7xN5lBjRt

More details on season one at https://t.co/YAgrmtbCLs.",2025-10-27 22:01:49,tweet
tweet_1982930768134582737,"Every sport has its Moneyball moment.

This is that moment for business.

This is the era of MetaSPN.

Welcome to the future of greatness.",2025-10-27 22:01:50,tweet
tweet_1982930766029099381,"Here's the Week 0 video: https://t.co/dLIwUvk0SR

It's raw, but I don't give a shit. Because we're moving quickly here.

I don't like what I'm seeing around me so it's time to change the game.",2025-10-27 22:01:50,tweet
tweet_1982930900229972461,"Full essay here:
https://t.co/9MMHbEjzjb",2025-10-27 22:02:22,tweet
tweet_1982937283482300715,Business needs playoffs.,2025-10-27 22:27:44,tweet
tweet_1982939094171730122,"When you don't panic at any outcome, you realize that as long as there's time, you're alive. You simply need to get to the next moment.

The next goal. 

The next pass.

The next dribble.

It's about finding that moment to make your move, doing what it takes to win.",2025-10-27 22:34:55,tweet
tweet_1982939091176948080,"It's fitting that I'm launching on Hell is Real Playoff day.

This is a series that taught me a lot about the value of preparation.

During the run to the 2023 cup, the Crew went down 0-2 in Cinci. 

They brought it level in the second half. And then it went to extra time.",2025-10-27 22:34:55,tweet
tweet_1982939095648350444,"I have no idea what's going to happen tonight. But god damn, am I ready for it.

Because I've been prepping a long time for this moment. And I'm just getting started while everyone else is looking worn down.

It's time for a title run of my own.",2025-10-27 22:34:56,tweet
tweet_1982940136435548318,"From Ohio to the Manhattan Project for Human Potential.

It's been a fun ride. https://t.co/QGcIzf5Qu2",2025-10-27 22:39:04,tweet
tweet_1982945672635560377,Impossible is an opinion.  #crew96,2025-10-27 23:01:04,tweet
tweet_1982954295596089454,I love the playoffs.,2025-10-27 23:35:20,tweet
tweet_1982956509207376325,"Solid first half. 

Couple of shaky moments, great recoveries, and vintage Schulte. 

This is the #Crew96 we’ve got this year and I’m happy with what we’ve setup for the second.",2025-10-27 23:44:08,tweet
