id,text,date,type
tweet_1982968409429320090,"What do you do when your back is against the wall?

That’s where championships are won or lost.",2025-10-28 00:31:25,tweet
tweet_1982972979538485549,"We go down in game 1. 

Tough result but what we deserved. 

On to Sunday to force game 3.",2025-10-28 00:49:34,tweet
tweet_1982973334611447863,"RT @fkasummer: Great computer scientists are rarely born, because it is rare for a single person to have both the rigor and precision of a…",2025-10-28 00:50:59,tweet
tweet_1983001244261331303,"When you hit the limits of what you can do as the person you are, you need to transform. 

Learn to do that as needed and you are unstoppable.",2025-10-28 02:41:53,tweet
tweet_1983152072943120894,"I'm really not a fan of where the US is going right now.

This is a dangerous sign and will need communities to step up. https://t.co/ccH5qzMNXm",2025-10-28 12:41:14,tweet
tweet_1983152149509951809,Full newsletter: https://t.co/wsDPt02tTM,2025-10-28 12:41:32,tweet
tweet_1983154916538646791,"RT @jposhaughnessy: Two thoughts from Vince Gilligan

""If you’re too rigid in your thinking you may miss some wonderful opportunities for s…",2025-10-28 12:52:31,tweet
tweet_1983155373982052432,"Spoiler: this approach is incredibly expensive. 

Hope you’ve got OpenAIs bankroll.",2025-10-28 12:54:21,tweet
tweet_1983157913670824068,"Fun fact: when I was writing this essay, Skippy didn't believe that it was real (he also thought it was still 2024, so 🤷‍♂️) https://t.co/4BsXmlv84u",2025-10-28 13:04:26,tweet
tweet_1983158055337648561,"When reality disbelieves itself, the game begins.",2025-10-28 13:05:00,tweet
tweet_1983158623342866449,The hardest thing about being an entrepreneur is giving up all the other roles by default.,2025-10-28 13:07:15,tweet
tweet_1983159026646204832,After learning how to do something you’ve got to learn how to not do it.,2025-10-28 13:08:51,tweet
tweet_1983164606484025763,"RT @StewartalsopIII: when people ask me what religion i am im going to start saying

Culturally christian, spiritually capybara https://t.c…",2025-10-28 13:31:02,tweet
tweet_1983201932589281686,Business is a game and running a startup is a performance sport.,2025-10-28 15:59:21,tweet
tweet_1983215917266792732,"Setting up my data room.

I don't know what a normal data room looks like, so I'm creating a self-assembling one that can be whatever it needs to be.

Still a couple of bugs to work out yet. https://t.co/n6Z2KPomPa",2025-10-28 16:54:55,tweet
tweet_1983216347812139424,"Information asymmetries are a great perpetrator of time violence, and this aligns with my research.",2025-10-28 16:56:38,tweet
tweet_1983224886265888995,"This is because people are dumb and wasteful. 

Give me a small one that does what I want.",2025-10-28 17:30:34,tweet
tweet_1983270849282224273,"Good start to the week.

Predicted 3 inbound sponsors and 1 call booked for tomorrow. 

And have my data room set up and my data room factory about ready to drop.",2025-10-28 20:33:12,tweet
tweet_1983277554288230874,Me rn https://t.co/TezTI1Mmgh,2025-10-28 20:59:51,tweet
tweet_1983322354181910909,"Ok,  I tried to create a longitudinal summary of what I've tweeted about and this isn't what I expected, but it's somehow funnier and maybe deeper. https://t.co/eXNf3aJfrf",2025-10-28 23:57:52,tweet
