id,text,date,type,community_label
tweet_1984050912391000177,@im_roy_lee I agree with that. The reason we get slop is that the incentives force a bunch of unskilled people to crank out stuff they don't enjoy doing for people they don't enjoy doing them for.,2025-10-31 00:12:54,tweet,0
tweet_1984061637108859162,Working on an MetaSPN Playbook. https://t.co/jGR0wyT3Mo,2025-10-31 00:55:31,tweet,1
tweet_1984086500758450261,https://t.co/lwOCJmtI7M,2025-10-31 02:34:18,tweet,2
tweet_1984094167442846017,https://t.co/GRGz5bgKYp,2025-10-31 03:04:46,tweet,2
tweet_1984225025390788978,Assembling a book this morning.,2025-10-31 11:44:45,tweet,3
tweet_1984229864610902339,Book Assembled. https://t.co/56822Pp0aG,2025-10-31 12:03:59,tweet,4
tweet_1984230195042377939,https://t.co/FgdGAdzQl1,2025-10-31 12:05:18,tweet,2
tweet_1984230225220387170,https://t.co/HholpRiiYf,2025-10-31 12:05:25,tweet,2
tweet_1984230329071407421,https://t.co/yv3JVW8k7Q,2025-10-31 12:05:50,tweet,2
tweet_1984230376043422159,https://t.co/oeZa0XJR41,2025-10-31 12:06:01,tweet,2
tweet_1984230420138099193,https://t.co/rnSTtBZp4g,2025-10-31 12:06:12,tweet,2
tweet_1984230460227195032,https://t.co/0avWL92cDJ,2025-10-31 12:06:21,tweet,2
tweet_1984230751651639668,"The players are awakening now.

Are you ready to play? https://t.co/ValLMQdD87",2025-10-31 12:07:31,tweet,5
tweet_1984231865557897414,"@johnsonmxe @BasedBeffJezos For intelligence, it's not so much about the qualia experienced as it is about the construction of qualia into meaningful predictions.

Qualia is simply a mapping of observations of the world that can be combined into predictions, and the qualia you've experienced before can be",2025-10-31 12:11:56,tweet,14
tweet_1984233487877169153,Welcome to the new Renaissance. https://t.co/TxqQlDUdD0,2025-10-31 12:18:23,tweet,7
tweet_1984237244761469038,"@__drewface @cavi_jointleman The crew definitely helps. It makes everything a lot easier.  

But there’s a level you can find where you can’t help but do the work, regardless of the support or lack thereof. 

I’ve been there for a long time and I’m ascending to the crew stage now. 

It’s a nice change tbh",2025-10-31 12:33:19,tweet,14
tweet_1984239423886938459,"Decisions, decisions.... https://t.co/7mkL3HM9f6",2025-10-31 12:41:58,tweet,8
tweet_1984244294648254724,Conscious funnel step 1: proof collection https://t.co/dbYQIAuEbp,2025-10-31 13:01:19,tweet,9
tweet_1984244298943201567,Conscious funnel step 2: decision gates https://t.co/arzbUX4oDj,2025-10-31 13:01:21,tweet,9
tweet_1984244305863856513,Conscious funnels step 3: experiment launches https://t.co/buucy0GYDh,2025-10-31 13:01:22,tweet,9
tweet_1984253353824850340,Might fuck around and publish a book this afternoon.,2025-10-31 13:37:19,tweet,3
tweet_1984259085202845766,Started digging into my past a bit. https://t.co/rHsb7VH00o,2025-10-31 14:00:06,tweet,10
tweet_1984275480296685679,"And it's funny, my present echoes my past. https://t.co/quO9okXrL6",2025-10-31 15:05:15,tweet,10
tweet_1984275605874147441,Slowness is the worst kind of violence for those of us that are fast. https://t.co/KyFleS9JJP,2025-10-31 15:05:45,tweet,11
tweet_1984275792252350819,"That's why I'm creating MetaSPN.

I know speed and I will never slow you down. https://t.co/zvHQKNnG2a",2025-10-31 15:06:29,tweet,12
tweet_1984275952923525488,"Don't move fast and break things.

Move consciously and integrate things. https://t.co/yach36ljS0",2025-10-31 15:07:07,tweet,13
tweet_1984278240224280933,"@PierreDeWulf This is of course the flip side of the problem that developers hate paying for things.

Great for helping you get real feedback, hard to sell to.

Feels like we need influencers, but for the code, not the audience...",2025-10-31 15:16:13,tweet,14
tweet_1984278698745569790,Turning the book into an interactive site before I decide whether or not to move forward publishing.,2025-10-31 15:18:02,tweet,15
tweet_1984279019505004773,"TIL about Astro, which is nice because I was able to move the latex files to markdown and just use those for the pages, and then adding dynamic components within the chapters as needed.",2025-10-31 15:19:19,tweet,14
tweet_1984281525324861466,Coming soon: performance hackers that take over your socials for not being good enough at it.,2025-10-31 15:29:16,tweet,16
tweet_1984306390328836575,"@nosilverv It's only discontinuous because of the systems we create that capture the transformation. The observer sees the caterpillar and then watches them become a butterfly in ""real time"".

Except, there's no transmission about how to create the chrysalis that enables the transformation",2025-10-31 17:08:04,tweet,14
tweet_1984307082456088898,Vibe-benchmarking is my new favorite vibe activity.,2025-10-31 17:10:49,tweet,17
tweet_1984308870156558352,"@whyarethis It's not, as designed. It could be, but requires the understanding of networks instead of models.",2025-10-31 17:17:55,tweet,14
tweet_1984344338508226958,Time: my paintbrush,2025-10-31 19:38:52,tweet,10
tweet_1984361390019396054,The natural follow on from this is that humans become the limiting factor and explains why I’ve been focused on consciousness and human value.,2025-10-31 20:46:37,tweet,18
tweet_1984396679747928570,https://t.co/kyg6MRaVr5,2025-10-31 23:06:51,tweet,2
tweet_1984399822296629284,Yet another reason MetaSPN is needed.,2025-10-31 23:19:20,tweet,6
